金城江|金城江区
郧县
源汇|源汇区
繁昌|繁昌县
大安|大安区
东城|东城区
昔阳|昔阳县
忻府|忻府区
左权|左权县
鄂温克族自治旗|鄂温克族自治旗
郊区
兰坪白族普米族|兰坪白族普米族自治县
巴宜|巴宜区
南郑|南郑县
五营|五营区
戚墅堰|戚墅堰区
平度|平度市
高碑店|高碑店市
定海|定海区
威宁彝族回族苗族|威宁彝族回族苗族自治县
清流|清流市
大名|大名市
和县
安宁|安宁市
鄜县
依安|依安县
郊区|郊区市
邵武|邵武市
永年|永年区
惠民|惠民市
澄城|澄城县
陈旗|陈旗市
青原|青原区
东坡|东坡市
蕲春|蕲春县
石屏|石屏县
深州|深州市
海林|海林市
高邮|高邮市
瓮安|瓮安县
涪城|涪城区
美姑|美姑县
云龙|云龙县
普格|普格县
澳门|澳门市
木里藏族|木里藏族自治县
肇东|肇东市
三河|三河市
兴安盟|兴安盟
巴音郭楞|巴音郭楞市
汉寿|汉寿县
莲池|莲池区
京山|京山县
梨树|梨树区
平坝|平坝市
睢宁|睢宁县
海丰|海丰县
丁青|丁青县
公安|公安县
北京|北京市
察哈尔右翼前旗|察哈尔右翼前旗
河源|河源市
南湖|南湖区
商邱|商邱市
高陵|高陵县
克孜勒苏柯尔克孜|克孜勒苏柯尔克孜自治州
东风|东风区
市中区
怀集|怀集县
民和回族土族|民和回族土族自治县
波密|波密县
庄浪|庄浪县
湄潭|湄潭县
阜新|阜新市
云和|云和市
阎良|阎良区
东湖|东湖区
肃宁|肃宁县
苏左旗|苏左旗市
狮子山|狮子山区
拉孜|拉孜县
天宁|天宁区
鄞州|鄞州区
大方|大方县
博尔塔拉蒙古|博尔塔拉蒙古自治州
大柴旦行政委员会*|大柴旦行政委员会*
徐水|徐水区
沧县
浦北|浦北县
闸北|闸北区
青山|青山区
新城|新城区
长清|长清区
南木林|南木林县
绥滨|绥滨县
石柱|石柱市
和田地|和田地区
昭阳|昭阳区
黔西|黔西县
双桥|双桥区
华蓥|华蓥市
东营|东营市
婺城|婺城区
四平|四平市
巴南|巴南区
淮阴|淮阴区
得荣|得荣县
临县
闵行|闵行区
绍兴|绍兴县
弥渡|弥渡县
武江|武江区
盐亭|盐亭县
华阴|华阴市
荥阳|荥阳市
登封|登封市
柳江|柳江区
横山|横山县
延川|延川县
双城|双城市
恩阳|恩阳市
高要|高要区
北塘|北塘区
西市区
铁锋|铁锋区
温州|温州市
乌后旗|乌后旗市
喀喇沁左翼蒙古族|喀喇沁左翼蒙古族自治县
镇江|镇江市
白塔|白塔区
古田|古田县
静海|静海区
绥德|绥德县
乐至|乐至县
克拉玛依|克拉玛依市
西山|西山区
冷水滩|冷水滩区
东兰|东兰县
安龙|安龙县
古塔|古塔区
莒县
阿克塞哈萨克族|阿克塞哈萨克族自治县
个旧|个旧市
江苏|江苏省
酆都|酆都县
响水|响水县
万全|万全区
高淳|高淳区
奎屯|奎屯市
当涂|当涂县
鹤壁|鹤壁市
呈贡|呈贡区
信阳|信阳市
德昌|德昌县
南县
吉阳|吉阳区
老城|老城区
和林|和林市
鸡东|鸡东县
迎泽|迎泽区
抚松|抚松县
恩施土家族苗族|恩施土家族苗族自治州
泸西|泸西县
鬱林|鬱林市/郁林市
伊春|伊春区
新安|新安县
长阳土家族|长阳土家族自治县
酒泉|酒泉市
白云鄂博矿|白云鄂博矿区
延安|延安市
邵阳|邵阳县
太平|太平市
安泽|安泽县
西湖|西湖区
乌当|乌当区
托县|托县市
潘集|潘集区
兴隆|兴隆市
兴海|兴海县
霍林郭勒|霍林郭勒市
雅江|雅江县
北关|北关区
三原|三原县
龙南|龙南县
铜鼓|铜鼓市
青阳|青阳县
濮阳|濮阳县
范县
于洪|于洪区
寻邬|寻邬县
兴仁|兴仁县
张店|张店区
盐津|盐津县
用于身份证，济源|用于身份证，济源市不用于身份证
昭通|昭通市
疏附|疏附县
东方|东方市
余干|余干县
自流井|自流井区
名山|名山区
衢江|衢江区
罗源|罗源县
进贤|进贤县
鸡泽|鸡泽县
滁州|滁州市
永昌|永昌县
措美|措美县
潮安|潮安市
永泰|永泰县
新干|新干县
革吉|革吉县
钓鱼岛|钓鱼岛市
根河|根河市
溧水|溧水县
会泽|会泽县
克东|克东县
资阳|资阳市
紫阳|紫阳县
珠山|珠山区
蓟州|蓟州区
白玉|白玉县
麒麟|麒麟区
冀州|冀州市
图木舒克|图木舒克市
宿豫|宿豫区
南溪|南溪区
伊犁|伊犁市
工农|工农市
南江|南江县
平果|平果县
清河|清河市
织金|织金县
荔波|荔波县
孝感|孝感市
上甘岭|上甘岭区
绿园|绿园区
阿合奇|阿合奇县
大安|大安市
凉山彝族|凉山彝族自治州
尼勒克|尼勒克县
布尔津|布尔津县
桑日|桑日县
徽县
绩溪|绩溪县
沙市区
密云|密云县
保亭黎族苗族|保亭黎族苗族自治县
北辰|北辰区
吉木乃|吉木乃县
南山|南山区
娄底|娄底市
瑶海|瑶海区
鹤峰|鹤峰县
平南|平南县
北海|北海市
锡山|锡山区
姑苏|姑苏市
秀屿|秀屿区
文安|文安县
包河|包河区
郿县
罗湖|罗湖区
双江拉祜族佤族布朗族傣族|双江拉祜族佤族布朗族傣族自治县
蕉城|蕉城区
建德|建德市
茌平|茌平县
云阳|云阳县
龙泉驿|龙泉驿区
天水|天水市
丘北|丘北县
禄丰|禄丰县
永登|永登县
麻江|麻江县
康保|康保县
沾化|沾化区
禄劝彝族苗族|禄劝彝族苗族自治县
双辽|双辽市
新源|新源县
湾里|湾里区
东安|东安县
来凤|来凤县
越嶲|越嶲县
黎城|黎城县
廉江|廉江市
港闸|港闸区
大厂回族|大厂回族自治县
建华|建华区
江汉|江汉区
仁化|仁化县
泸县
若羌|若羌县
大石桥|大石桥市
淮阳|淮阳县
栾城|栾城县
黄浦|黄浦区
鲁山|鲁山县
山海关|山海关区
盐田|盐田区
同江|同江市
富顺|富顺县
镇雄|镇雄县
河口瑶族|河口瑶族自治县
惠州|惠州市
余江|余江县
九原|九原区
三水|三水区
阿坝|阿坝县
镇沅彝族哈尼族拉祜族|镇沅彝族哈尼族拉祜族自治县
丽江|丽江市
安平|安平县
桑植|桑植县
郓城|郓城县
长武|长武县
兴县
鳛水|鳛水县
白水|白水县
花溪|花溪区
溧水|溧水市
浙江|浙江省
香河|香河县
下关|下关区
祥云|祥云县
望谟|望谟县
环县
大兴安岭|大兴安岭市
崇礼|崇礼区
昌宁|昌宁县
西双版纳|西双版纳市
东兴|东兴市
河津|河津市
贞丰|贞丰县
高密|高密市
商丘|商丘市
介休|介休市
富锦|富锦市
宝鸡|宝鸡市
偏关|偏关县
宁江|宁江区
辽中|辽中县
梅县区
沐川|沐川县
上犹|上犹县
大理白族|大理白族自治州
霍州|霍州市
庐阳|庐阳区
门源回族|门源回族自治县
巴音郭楞蒙古|巴音郭楞蒙古自治州
科尔沁右翼中旗|科尔沁右翼中旗
呼玛|呼玛县
潍坊|潍坊市
丰满|丰满区
阿里地|阿里地区
烈山|烈山区
金山|金山区
靖边|靖边县
遵义|遵义市
临邑|临邑县
清涧|清涧县
南陵|南陵县
赣县区
夏邑|夏邑县
隆德|隆德县
义县
大足|大足区
新和|新和县
高雄|高雄市
应县
广元|广元市
